stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
24,0.5,8.0,18.11605049998616,,18.107256582996342,18.11605049998616,18.604599707992747,18.604599707992747,18.609866915998282,18.892069790977985,19.023571332974825,right,8.0,1,1,0.4126452920027077,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
25,0.5,8.0,19.03239162499085,,19.023884082998848,19.03239162499085,19.521264749986585,19.521264749986585,19.527378999977373,19.80862166598672,19.957498874980956,right,8.0,1,1,0.43085562498890795,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
26,0.5,7.5,19.966720040974906,,19.957945915986784,19.966720040974906,20.45468233298743,20.45468233298743,20.460851124982582,20.74172783299582,20.79055174998939,right,7.5,1,1,0.3320926669985056,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
27,0.5,7.5,20.799561374995392,,20.790975665993756,20.799561374995392,21.28797070798464,21.28797070798464,21.29391162499087,21.575770874973387,21.64058149998891,right,7.5,0,0,0.3388401250122115,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
28,0.5,8.0,21.649739165994106,,21.641023582982598,21.649739165994106,22.137900457979413,22.137900457979413,22.142698874988127,22.424726124998415,22.643583500001114,right,8.0,1,1,0.5023440830118489,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
29,0.5,8.0,22.653866707987618,,22.643914665997727,22.653866707987618,23.13771658297628,23.13771658297628,23.14277162498911,23.425104374997318,23.756795458000852,left,-8.0,1,1,0.6115605410013814,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
30,0.5,8.0,23.76599320798414,,23.757242540974403,23.76599320798414,24.254631332994904,24.254631332994904,24.26077295799041,24.541176790982718,24.86131204100093,left,-8.0,1,1,0.6019715000002179,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
31,0.5,7.5,24.8704195409955,,24.861638290982228,24.8704195409955,25.359877540991874,25.359877540991874,25.359877540991874,25.654564540978754,26.96104304099572,right,7.5,0,0,1.597252292005578,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
32,0.5,8.0,26.97039154099184,,26.96136658298201,26.97039154099184,27.460427540994715,27.460427540994715,27.460427540994715,27.75936579098925,28.05722558297566,right,8.0,1,1,0.5878273750131484,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
33,0.5,8.0,28.065890290978132,,28.05759987499914,28.065890290978132,28.554497749981238,28.554497749981238,28.55950066598598,28.84229666600004,31.86171587498393,left,-8.0,0,0,3.3047313329880126,372727,001,2024-09-12_12h57.59.462,adaptive staircase,2024.2.1,None,2024-09-12 12h58.05.378282 +0530,
